,ID,DemAffl,DemAge,DemCluster,DemClusterGroup,DemGender,DemReg,DemTVReg,PromClass,PromSpend,PromTime,TargetBuy,TargetAmt
0,140,10.0,76.0,16.0,C,U,Midlands,Wales & West,Gold,16000.0,4.0,0,0
1,620,4.0,49.0,35.0,D,U,Midlands,Wales & West,Gold,6000.0,5.0,0,0
2,868,5.0,70.0,27.0,D,F,Midlands,Wales & West,Silver,0.02,8.0,1,1
3,1120,10.0,65.0,51.0,F,M,Midlands,Midlands,Tin,0.01,7.0,1,1
4,2313,11.0,68.0,4.0,A,F,Midlands,Midlands,Tin,0.01,8.0,0,0
5,2771,9.0,72.0,28.0,D,U,North,N West,Platinum,20759.81,3.0,0,0
6,3131,11.0,74.0,3.0,A,F,Midlands,East,Tin,0.01,8.0,0,0
7,3328,13.0,62.0,32.0,D,M,North,N East,Tin,0.01,5.0,0,0
8,4529,10.0,62.0,49.0,F,M,Midlands,East,Silver,2038.76,3.0,0,0
9,5886,14.0,43.0,49.0,F,F,,,Gold,6000.0,1.0,1,1
10,7420,7.0,60.0,52.0,F,F,North,N East,Gold,11000.0,2.0,0,0
11,9814,5.0,54.0,24.0,C,M,South East,London,Silver,5000.0,1.0,1,1
12,10006,9.0,51.0,52.0,F,F,Midlands,Midlands,Silver,300.0,11.0,0,0
13,10219,6.0,64.0,19.0,C,F,South East,S & S East,Tin,0.01,9.0,0,0
14,10812,16.0,37.0,18.0,C,F,South East,London,Tin,0.01,4.0,1,2
15,11207,8.0,54.0,28.0,D,M,Midlands,Midlands,Silver,1420.0,1.0,0,0
16,11932,5.0,70.0,15.0,B,F,Midlands,Midlands,Gold,6104.66,8.0,0,0
17,14656,8.0,42.0,19.0,C,F,Midlands,East,Tin,0.01,5.0,1,1
18,15350,7.0,54.0,40.0,E,F,Scottish,C Scotland,Tin,0.01,5.0,1,1
19,17302,7.0,49.0,28.0,D,,South East,London,Tin,0.01,7.0,0,0
20,19496,9.0,66.0,49.0,F,F,Midlands,Midlands,Silver,500.0,12.0,0,0
21,19763,9.0,74.0,8.0,B,F,Midlands,Wales & West,Gold,6000.0,2.0,0,0
